location,princ,irate,cscore,result
suburban,403,7.5,617,non-default
suburban,837,7.5,704,default
suburban,853,8,544,default
suburban,624,7,688,default
suburban,662,7.25,665,default
urban,256,7.25,571,default
suburban,658,7.25,754,default
rural,330,7.75,583,default
suburban,482,7.5,661,non-default
urban,415,7,618,default
rural,296,7.5,505,non-default
urban,421,7.25,555,default
suburban,769,7.25,684,default
urban,346,7.25,612,default
rural,570,7.25,644,non-default
suburban,479,7.75,661,non-default
rural,514,7,647,non-default
suburban,327,7.25,583,non-default
suburban,557,7,675,non-default
rural,404,7.5,622,non-default
urban,415,7,601,default
suburban,653,7.25,698,default
urban,414,7,665,non-default
rural,357,7.5,527,non-default
suburban,253,7.75,654,default
urban,240,6.75,493,non-default
rural,618,6.25,609,non-default
suburban,1296,7.25,710,default
suburban,595,7.75,562,default
rural,615,7.5,580,default
rural,440,7,544,default
rural,1058,7.25,705,default
urban,444,7.5,585,default
suburban,604,7.25,738,default
suburban,933,7.25,727,default
suburban,645,7.25,661,default
suburban,225,7.5,643,non-default
urban,577,7.25,696,non-default
urban,253,7.75,466,non-default
urban,549,7.25,646,default
suburban,783,7.5,698,non-default
urban,569,7.75,515,default
urban,489,7.5,473,default
rural,799,6.75,680,non-default
rural,35,6.75,421,non-default
suburban,855,7.25,654,default
urban,580,7.25,660,default
urban,311,7.25,639,non-default
rural,545,7,635,non-default
rural,540,7.25,635,non-default
suburban,670,7.25,668,default
urban,467,7.25,672,default
urban,587,7,723,default
suburban,769,7.25,735,non-default
suburban,618,7.5,591,default
urban,555,6.75,717,default
rural,1428,7.5,700,default
urban,342,7.75,441,default
suburban,239,6.5,589,non-default
urban,186,7,502,default
suburban,262,7,580,non-default
suburban,336,7.5,592,non-default
urban,188,7.5,482,default
rural,1081,7.25,736,default
suburban,606,7.75,562,default
suburban,255,6.75,526,non-default
suburban,496,7.25,745,default
suburban,986,7.25,701,default
suburban,325,6.5,697,non-default
suburban,365,7,654,non-default
rural,1275,7.5,654,default
suburban,424,7.5,827,non-default
urban,528,7,655,default
urban,299,7.5,706,default
rural,1037,7.25,775,default
suburban,751,7.25,674,default
rural,496,7.25,627,non-default
urban,723,7.25,588,default
rural,467,7.5,616,non-default
suburban,359,7.25,597,non-default
suburban,633,7.25,665,default
rural,510,7,638,non-default
suburban,753,7.5,628,non-default
urban,352,7,637,default
urban,196,7,688,non-default
rural,884,7.5,714,default
suburban,207,6.75,632,non-default
urban,314,7.75,449,default
suburban,194,7.75,656,default
suburban,675,8.25,412,default
suburban,394,7,679,non-default
suburban,837,7.5,669,non-default
suburban,497,7.25,744,non-default
suburban,479,7,707,default
suburban,931,8.25,524,default
suburban,335,7,610,non-default
rural,511,6.75,629,non-default
suburban,871,7.25,723,default
urban,134,7.25,567,default
suburban,225,6.5,606,default
urban,581,7.5,672,default
suburban,538,7,745,default
suburban,350,7,621,non-default
suburban,682,7,733,default
suburban,410,7,551,non-default
suburban,660,7.5,575,default
rural,415,7.25,606,non-default
urban,196,7.75,420,default
urban,377,7.5,520,default
urban,237,7.5,430,default
suburban,477,7,679,non-default
urban,180,8,713,default
rural,1033,7.25,732,default
urban,200,6.75,660,default
urban,870,6.75,746,non-default
suburban,343,6.75,640,non-default
rural,574,7,655,non-default
suburban,361,7.25,626,non-default
suburban,839,7.25,703,default
rural,665,7.5,688,default
suburban,248,7.5,646,default
urban,401,7.5,553,default
suburban,299,7.25,663,default
suburban,725,7,697,default
rural,113,7.5,623,non-default
suburban,712,7.5,569,default
urban,463,7.75,455,default
suburban,555,7,739,default
suburban,660,7.25,692,default
rural,576,7.25,580,non-default
urban,482,7.5,628,default
suburban,919,7.75,621,default
suburban,537,7.5,660,default
suburban,590,7.25,649,default
suburban,591,7.25,724,default
suburban,429,7.5,599,default
suburban,680,7.25,662,default
urban,471,7,709,default
rural,988,7.25,728,default
urban,220,7.25,509,default
suburban,453,7.5,627,non-default
suburban,701,8,527,default
suburban,720,7.25,606,non-default
rural,1214,7.25,699,default
suburban,768,7.75,579,default
suburban,536,7.25,644,default
urban,273,7,724,non-default
rural,491,7,609,non-default
urban,668,7.5,620,default
suburban,208,6.75,652,non-default
urban,626,7.5,582,default
urban,363,7.75,692,default
rural,468,7.5,610,non-default
suburban,649,7.25,648,default
suburban,779,7.25,814,non-default
rural,1156,7.25,702,default
rural,395,7.75,659,default
rural,637,7,571,non-default
rural,565,7,593,non-default
suburban,297,6.5,633,non-default
suburban,550,7,709,default
suburban,362,8,616,default
urban,401,7.25,637,default
suburban,450,7.25,639,non-default
suburban,574,7.25,689,non-default
urban,577,7.5,563,default
suburban,542,8,701,non-default
suburban,571,7.25,683,default
suburban,368,7.5,611,non-default
rural,434,7.25,587,non-default
urban,493,7.5,569,default
urban,357,7,696,default
urban,396,7,562,default
suburban,689,7.25,690,default
suburban,438,7.5,597,default
suburban,398,7.75,635,default
suburban,589,7.25,664,default
rural,868,7.25,757,default
urban,454,7,722,non-default
rural,392,7,549,non-default
urban,564,7,681,default
urban,621,6.75,666,default
urban,418,6.75,735,default
suburban,744,7,732,non-default
suburban,625,7.25,668,non-default
urban,509,7.25,713,default
suburban,631,7.25,655,default
urban,652,7.5,735,default
rural,730,6.75,634,non-default
suburban,382,7.5,636,non-default
suburban,308,6.5,624,non-default
rural,1201,7.5,688,default
rural,474,7.25,618,non-default
suburban,537,8,512,default
suburban,447,7.5,547,non-default
urban,302,7.5,603,non-default
rural,1100,7.5,714,default
suburban,661,7.5,679,default
suburban,370,7.5,639,default
suburban,625,7.25,697,default
suburban,728,7.25,677,default
suburban,765,7.5,585,non-default
suburban,808,7.5,706,non-default
urban,595,7.5,607,default
suburban,607,7.25,653,non-default
urban,520,7.75,564,default
rural,343,7,630,non-default
urban,329,7.75,417,default
suburban,386,7,606,non-default
suburban,913,7.25,680,default
suburban,300,7.25,589,non-default
urban,544,7.5,747,default
suburban,851,7.5,640,non-default
suburban,696,7.5,618,non-default
urban,593,7.25,719,default
suburban,494,7.25,659,non-default
urban,227,7,694,non-default
suburban,731,7,697,non-default
suburban,301,6.75,755,non-default
suburban,862,7.5,592,non-default
suburban,310,7,584,default
urban,454,7.75,686,default
suburban,440,7.75,571,default
suburban,436,7,722,default
urban,596,7.25,608,default
rural,447,7.5,616,non-default
suburban,706,7.75,572,default
urban,244,8.5,763,non-default
urban,412,7.25,630,default
suburban,594,7.25,677,default
rural,984,7.25,768,default
rural,841,6.75,603,non-default
suburban,574,7.25,698,default
urban,336,8,430,default
rural,489,7,801,non-default
urban,569,7,659,non-default
suburban,377,7.5,649,non-default
urban,645,7.5,664,non-default
urban,527,7.25,694,default
urban,465,7,642,default
suburban,287,6.75,699,non-default
suburban,592,7.5,638,default
rural,357,7.25,652,non-default
suburban,578,7.25,709,default
suburban,507,7.25,674,default
suburban,431,7.5,647,non-default
suburban,355,7.5,677,default
rural,1171,7.25,762,default
suburban,174,6.5,595,non-default
suburban,395,7,752,non-default
urban,229,6.75,572,non-default
rural,378,7.75,623,default
suburban,497,7.5,671,default
rural,550,7.25,638,non-default
rural,276,7.75,580,default
suburban,359,7.75,679,default
urban,379,7,697,non-default
suburban,283,7.25,563,non-default
urban,100,7,676,default
rural,307,7.5,515,default
suburban,703,7.25,777,default
rural,950,7.5,667,default
urban,543,7.5,550,default
suburban,578,7.5,692,default
suburban,455,7.5,730,non-default
suburban,395,7.25,721,default
suburban,712,7.5,504,non-default
suburban,270,7.75,640,default
suburban,327,7.5,613,default
suburban,700,7.25,640,default
suburban,696,7.25,676,non-default
rural,674,6.75,633,non-default
suburban,413,7.75,611,non-default
suburban,679,7.25,704,default
suburban,400,7.5,651,non-default
urban,246,7.25,536,default
suburban,518,7.25,633,default
rural,1506,7.5,665,default
suburban,279,7,561,default
rural,1000,7.25,703,default
rural,427,7.25,632,non-default
suburban,450,7,717,default
suburban,436,7.25,691,non-default
urban,679,7,744,default
suburban,720,7.25,750,non-default
suburban,313,7.25,576,default
rural,647,6.5,637,non-default
suburban,610,7.25,680,non-default
suburban,849,7.25,713,default
rural,692,7,628,non-default
urban,290,7.25,558,default
suburban,432,7.75,588,non-default
rural,566,7,610,non-default
suburban,756,7.25,679,default
urban,288,8,734,default
rural,883,7.25,709,default
urban,530,7,630,non-default
suburban,392,7.25,785,non-default
urban,230,7.25,488,default
rural,499,7.75,629,non-default
suburban,662,6.75,698,non-default
rural,1135,7.25,643,default
suburban,698,7.25,707,default
suburban,597,7.25,670,default
suburban,797,7.25,639,non-default
suburban,774,7.25,687,default
rural,789,7.25,771,default
rural,468,6.5,569,non-default
urban,374,7.75,693,default
rural,525,7.25,635,non-default
urban,610,7,713,default
suburban,925,7.25,676,default
rural,822,7.25,699,default
urban,298,7.25,582,default
rural,546,6.75,596,non-default
suburban,151,7.75,635,default
urban,522,7.25,597,default
urban,521,7.75,715,default
urban,425,7,560,default
suburban,635,7,658,default
suburban,538,7.25,603,non-default
rural,238,7.75,577,non-default
suburban,945,7.75,580,non-default
rural,352,7.5,585,non-default
suburban,939,7.25,737,default
suburban,737,7.75,619,default
urban,485,7.5,602,default
suburban,907,7.25,693,default
urban,517,7.75,527,default
suburban,275,7.25,728,default
suburban,740,7,686,non-default
suburban,676,7,714,default
suburban,732,7.75,641,default
suburban,359,7.25,609,non-default
suburban,573,7,752,default
suburban,814,7.25,707,default
suburban,523,7.75,822,non-default
suburban,524,7.5,704,non-default
urban,241,7,498,default
urban,360,7,646,default
suburban,633,7.25,667,default
rural,897,7.25,734,default
rural,824,7.25,737,default
suburban,373,7.25,589,non-default
urban,452,7,644,default
rural,530,7.25,636,non-default
rural,623,8.25,793,non-default
rural,456,6.75,510,non-default
suburban,935,7.25,664,default
urban,486,7.5,536,default
suburban,772,7.25,709,default
suburban,698,7,756,default
suburban,287,7.75,632,default
rural,1091,7.25,727,non-default
urban,285,7,705,non-default
suburban,664,7.25,663,default
urban,522,7.25,720,non-default
urban,300,7,710,default
urban,443,7.5,720,default
suburban,745,7.5,733,non-default
suburban,836,7.5,606,default
suburban,516,8,727,non-default
urban,362,7.25,649,default
suburban,773,8,636,default
rural,501,6.75,646,non-default
suburban,120,7.75,628,default
suburban,861,7,702,default
suburban,561,7,663,non-default
urban,630,7,706,non-default
rural,462,6.5,755,non-default
suburban,776,7.25,701,default
rural,286,7.75,577,non-default
rural,1168,7.25,713,default
urban,574,7.25,688,default
suburban,689,7.25,675,default
suburban,629,7,738,default
suburban,645,6.75,712,non-default
suburban,663,7.5,687,non-default
urban,380,6.75,702,default
suburban,425,7.5,658,default
suburban,676,7.25,648,default
suburban,1075,7.25,707,default
urban,592,7.5,524,default
suburban,393,6.5,634,non-default
rural,464,6.75,588,non-default
suburban,1132,7.25,661,default
suburban,503,7,670,non-default
urban,472,7.5,509,default
suburban,899,7.25,731,non-default
suburban,360,7.75,622,non-default
urban,282,8,722,default
rural,1048,7.25,712,default
suburban,423,7.5,682,non-default
rural,1051,7.25,735,default
suburban,451,7.75,583,non-default
urban,272,7,707,non-default
urban,453,7,599,default
suburban,336,6.5,739,non-default
suburban,692,7.25,796,non-default
rural,669,6.75,611,non-default
rural,784,7.25,710,default
rural,532,7.25,625,non-default
rural,598,6.75,670,non-default
rural,452,7.5,642,non-default
rural,1412,7.25,698,default
urban,627,7.75,645,non-default
suburban,424,7.5,648,non-default
suburban,105,6,627,non-default
suburban,1075,7.25,734,default
urban,431,7.25,655,default
urban,615,7.75,599,default
suburban,657,7.25,676,default
suburban,641,7.25,630,default
suburban,795,7.25,667,default
rural,107,8,547,default
urban,528,7.25,684,non-default
rural,359,7,653,non-default
suburban,577,7.75,485,default
suburban,803,7.25,722,default
suburban,560,7.5,487,default
suburban,536,7.25,649,non-default
suburban,819,7.25,817,non-default
suburban,773,7.25,766,non-default
suburban,38,8,642,default
urban,266,7.25,538,default
suburban,708,6.75,694,non-default
urban,436,7.25,618,non-default
suburban,804,7.75,522,default
suburban,906,7.5,766,non-default
suburban,449,7.75,663,default
urban,264,7.25,626,non-default
suburban,775,7.25,698,default
suburban,366,7.5,504,default
suburban,642,7,690,non-default
rural,693,6.5,616,non-default
urban,449,7.25,648,default
rural,1151,7.5,725,default
suburban,880,7.25,684,non-default
rural,956,7.25,720,default
urban,200,7.25,665,non-default
suburban,542,7,748,default
urban,232,7,675,default
suburban,859,7.25,691,default
suburban,856,7.5,670,default
urban,643,7.25,708,default
suburban,746,7.25,678,non-default
suburban,370,7.25,639,non-default
urban,608,7,590,default
urban,428,7,671,default
urban,542,7.25,663,default
suburban,510,7.25,643,non-default
suburban,546,7.25,739,default
suburban,304,7.25,584,default
suburban,756,8,516,default
rural,1020,7.25,702,default
urban,584,7.5,565,default
urban,646,7.25,722,default
suburban,267,7.25,704,non-default
urban,340,7,731,default
suburban,613,7.75,554,default
urban,502,7,698,default
urban,556,7.5,596,default
urban,228,7.5,437,default
rural,40,8.25,698,default
suburban,697,7.25,630,default
suburban,668,7.25,641,default
suburban,1074,7.25,666,default
rural,496,7,578,non-default
suburban,924,6,727,non-default
suburban,518,7.25,742,default
suburban,361,7,591,non-default
suburban,249,7.5,651,default
urban,400,7.25,571,non-default
suburban,553,7.25,650,non-default
suburban,445,7.75,612,default
suburban,724,7.25,705,default
suburban,204,8,667,non-default
suburban,406,7.5,781,non-default
urban,698,7.25,667,default
rural,278,7.25,414,non-default
rural,925,7.25,726,default
suburban,807,7.25,699,non-default
suburban,347,7.75,627,default
rural,330,6.25,571,non-default
suburban,300,7.25,689,non-default
suburban,879,7,688,non-default
suburban,231,6.75,707,non-default
urban,632,7.25,670,default
rural,619,7.25,627,non-default
urban,276,7.75,690,default
suburban,311,7.5,506,default
suburban,315,7.25,564,default
suburban,639,7,678,default
urban,224,7.25,696,non-default
suburban,606,7.75,597,non-default
urban,89,6.5,491,default
suburban,39,6.75,498,non-default
urban,348,7,710,default
suburban,696,7,757,default
suburban,321,7.75,658,default
suburban,554,7.25,699,default
suburban,440,7,725,default
suburban,570,7.5,667,default
rural,446,7.25,614,non-default
suburban,182,7,552,default
suburban,458,8.25,677,default
urban,290,8,385,default
suburban,654,7.25,701,default
urban,376,7.25,676,non-default
rural,975,7.25,719,default
suburban,695,7.25,710,default
suburban,565,8,496,default
suburban,337,7.5,545,default
suburban,397,7.25,652,non-default
suburban,295,7.75,634,default
suburban,441,7,650,non-default
suburban,808,7.25,683,default
suburban,427,7.25,676,non-default
suburban,877,7.25,701,default
urban,921,6.75,768,non-default
suburban,645,7.75,479,default
suburban,653,7.25,663,non-default
suburban,578,7.25,742,default
suburban,289,7.5,636,non-default
rural,720,7,648,non-default
urban,382,7.25,638,default
suburban,412,7.5,633,non-default
suburban,588,7.25,694,default
suburban,440,7,711,default
rural,648,6.75,653,non-default
urban,524,7,717,non-default
rural,766,6.5,656,non-default
urban,541,7.5,575,default
urban,522,7,737,non-default
suburban,224,7,725,default
suburban,667,7.25,692,default
suburban,306,7.5,538,non-default
rural,231,7.25,542,default
suburban,825,7.25,605,default
suburban,850,7.25,649,default
suburban,777,7.25,701,default
suburban,875,7.25,677,default
suburban,391,7.25,631,non-default
suburban,233,6.25,706,default
urban,844,6.75,755,non-default
rural,645,6.5,670,non-default
urban,487,7,583,default
suburban,681,7.25,627,default
urban,557,7.75,591,default
rural,968,7.25,685,default
suburban,432,7.5,643,default
suburban,718,7.75,604,default
rural,124,8,573,non-default
rural,918,7.25,703,default
suburban,705,7,688,non-default
suburban,294,7.25,589,non-default
suburban,521,7.25,671,default
suburban,401,7.25,530,non-default
suburban,704,7.25,712,default
suburban,863,7.25,704,default
suburban,427,6.75,719,non-default
suburban,857,7.25,686,default
suburban,564,7.25,714,default
suburban,339,7.5,649,default
urban,317,7,634,default
rural,359,7.5,572,non-default
urban,545,7,716,default
suburban,952,7.25,668,default
suburban,511,7,745,default
rural,438,7.25,602,non-default
suburban,331,7,565,non-default
suburban,451,7,779,default
urban,300,7.75,530,default
rural,427,7.25,589,non-default
suburban,185,7.75,627,default
suburban,133,8,747,non-default
suburban,527,7,727,default
suburban,551,7.25,708,default
rural,368,7.5,614,non-default
rural,687,6.5,642,non-default
urban,281,7.5,462,default
rural,220,7.25,614,non-default
urban,449,7,581,default
suburban,338,7.75,622,default
rural,87,8,564,default
rural,1205,7.25,681,default
suburban,507,8,713,non-default
suburban,561,8,739,default
suburban,836,7.75,562,default
rural,493,6.5,551,non-default
suburban,975,7.75,678,non-default
suburban,381,6.5,698,non-default
rural,1127,7.25,689,default
urban,531,7.25,665,default
suburban,718,7,735,non-default
rural,666,6.5,613,non-default
rural,1226,7.5,739,default
suburban,784,7.25,682,default
suburban,733,7.5,670,non-default
urban,659,7.25,615,non-default
suburban,670,7.5,620,non-default
suburban,810,7.75,614,default
suburban,645,6.75,664,non-default
suburban,417,7.25,757,non-default
rural,912,7.25,709,default
rural,256,7,554,non-default
suburban,643,7,737,default
suburban,433,7.5,580,non-default
suburban,629,7,706,default
urban,195,7.25,462,default
urban,576,6.75,745,default
urban,457,7,687,default
suburban,518,7,657,non-default
urban,491,7.25,602,non-default
suburban,750,7.25,735,default
urban,650,7.5,537,default
urban,693,7.75,603,default
suburban,673,7,687,non-default
urban,233,7.75,540,default
urban,475,7.75,560,default
urban,528,7.25,618,default
suburban,332,8,652,default
suburban,685,7.75,545,default
suburban,571,7.75,720,non-default
suburban,727,7.25,711,default
suburban,454,7,782,default
suburban,410,7,797,default
rural,524,7,756,default
rural,798,7.25,727,default
suburban,722,6.5,746,non-default
urban,607,7,737,non-default
suburban,378,7.75,469,default
suburban,280,7.75,687,default
suburban,833,7.5,696,non-default
suburban,740,6.75,698,non-default
urban,642,7.25,567,default
rural,949,7.25,691,default
urban,340,7.25,657,default
suburban,691,7.5,664,default
urban,583,7.25,720,default
suburban,651,7.25,647,default
rural,408,7.5,626,default
urban,651,7,761,non-default
suburban,684,7.25,673,default
rural,163,8,549,default
urban,348,7.75,713,default
suburban,349,7.75,681,default
suburban,472,8.25,658,default
urban,448,7.5,507,default
suburban,503,7.5,675,default
suburban,612,7.5,601,default
suburban,432,8,551,non-default
suburban,302,7.25,608,default
rural,705,7,629,default
urban,397,7.75,514,default
suburban,384,7.5,554,default
suburban,833,7.25,676,default
urban,312,7.25,445,default
suburban,842,7.25,672,default
suburban,354,7.25,587,default
rural,551,7,656,non-default
urban,286,7,685,default
suburban,458,7,705,default
rural,1039,7.25,752,default
suburban,981,7.25,724,default
rural,653,7.25,642,non-default
urban,666,7.25,719,non-default
suburban,745,7.25,699,default
suburban,692,7.25,701,default
rural,413,7.5,594,default
suburban,261,7,525,non-default
suburban,420,7.25,475,non-default
urban,595,7,678,default
suburban,481,7.25,672,default
urban,570,7.5,581,default
suburban,349,8,652,default
suburban,770,7.25,734,default
suburban,539,7.25,671,non-default
suburban,266,8,658,default
rural,662,6.75,659,non-default
urban,448,8,536,default
suburban,512,7.25,723,default
suburban,635,7.5,703,non-default
rural,444,6.75,599,non-default
rural,433,6.75,738,non-default
rural,793,7.25,712,default
suburban,278,6.75,583,default
suburban,234,6.75,541,default
suburban,685,7,676,default
rural,966,7.25,667,default
suburban,632,7.25,660,default
suburban,732,8,583,default
suburban,779,7.25,689,default
suburban,778,7.25,633,default
urban,76,7,747,default
suburban,250,7,569,default
rural,614,7.25,635,non-default
suburban,407,7.5,548,default
suburban,529,7.25,739,default
suburban,550,7,679,non-default
rural,885,7.25,713,default
suburban,574,7,724,default
suburban,841,7.25,645,default
suburban,681,7.25,636,non-default
suburban,527,7,708,non-default
suburban,838,8,523,default
suburban,631,7.75,505,default
suburban,495,7,694,default
suburban,408,7,728,default
suburban,743,7.5,685,non-default
rural,665,7,638,non-default
rural,457,7.25,639,non-default
suburban,621,7.5,642,default
suburban,652,7,688,non-default
suburban,786,7.25,742,default
rural,400,7.25,602,non-default
urban,529,7.25,475,default
urban,549,7.25,592,default
suburban,721,7.75,474,default
rural,633,7,638,non-default
suburban,262,8,644,default
urban,210,7,660,non-default
urban,476,7.25,639,default
urban,481,7.5,729,default
suburban,259,7.25,675,non-default
urban,538,7,716,default
suburban,414,7.5,638,non-default
suburban,822,7.25,742,default
urban,203,7.25,710,default
suburban,186,7.5,653,default
suburban,841,8,621,non-default
rural,694,6.75,664,non-default
rural,947,7.25,677,default
rural,372,7.5,598,non-default
urban,581,7.5,628,non-default
suburban,736,7.25,780,non-default
urban,407,7.25,667,default
suburban,778,7.25,604,non-default
rural,570,7,648,non-default
rural,526,7,810,non-default
suburban,658,7.25,677,default
urban,489,7.25,624,non-default
rural,540,7.25,628,non-default
suburban,381,7.25,685,non-default
suburban,726,7.25,726,default
rural,502,7.25,606,non-default
rural,293,7.75,603,default
urban,296,8,688,default
suburban,298,7,539,default
suburban,396,7.5,642,non-default
suburban,330,7.25,676,default
suburban,800,7.75,704,default
rural,179,7.5,632,default
rural,458,6.75,608,non-default
suburban,439,7.25,768,non-default
rural,1039,7.25,703,default
suburban,306,7,524,default
rural,943,6.25,611,non-default
rural,241,7.75,586,default
suburban,337,7.75,769,default
suburban,274,6.75,590,default
suburban,475,7.75,596,default
suburban,928,7.25,628,default
rural,719,6.75,629,non-default
suburban,206,7.75,659,default
rural,267,7.5,609,non-default
rural,128,7.5,599,non-default
suburban,445,7.5,650,default
rural,433,7.25,629,non-default
rural,721,7,654,non-default
rural,553,7.25,638,non-default
urban,810,7.25,632,default
suburban,706,6.75,707,non-default
urban,439,7,630,default
urban,623,7.25,666,non-default
suburban,442,7.25,692,default
suburban,701,7.25,639,default
suburban,357,7,751,non-default
suburban,230,7.75,656,default
suburban,269,7.5,580,non-default
suburban,713,7.25,708,default
suburban,815,7.5,583,default
suburban,371,7.25,679,non-default
urban,572,7.5,734,default
urban,733,7.25,716,default
urban,425,7,706,default
rural,492,7.25,614,non-default
suburban,510,7,678,non-default
urban,426,7.25,640,default
suburban,459,7.75,555,non-default
urban,362,7.75,589,default
urban,364,7,704,default
rural,1130,7.5,692,default
suburban,362,7,732,non-default
suburban,770,8,513,default
suburban,670,7.25,702,default
suburban,687,7.25,703,default
urban,183,7.25,604,non-default
urban,329,7,702,default
suburban,790,7.25,677,default
suburban,603,7,681,non-default
suburban,235,6.75,591,non-default
suburban,486,7.25,844,non-default
suburban,664,7.25,751,default
rural,222,7.75,567,non-default
urban,331,7,680,default
suburban,678,7.25,594,default
suburban,521,7.5,646,default
suburban,349,7.25,685,default
rural,1131,7.25,702,default
suburban,387,7.25,656,non-default
rural,745,7.25,728,default
rural,333,7.25,575,non-default
suburban,986,7.75,607,non-default
rural,101,7.5,588,non-default
rural,388,7,539,non-default
suburban,150,6.5,513,non-default
suburban,414,7.5,671,default
urban,650,7,765,non-default
suburban,675,7.25,748,default
rural,349,7.5,594,non-default
suburban,339,7.25,679,default
rural,841,7.25,725,default
suburban,606,7.25,697,default
urban,476,8,541,default
suburban,679,7.25,656,default
suburban,991,7.5,681,non-default
suburban,662,7.25,653,non-default
rural,150,7.75,600,default
rural,393,7.5,615,default
urban,887,6.75,732,non-default
urban,568,7.5,595,default
rural,1066,7.25,777,default
suburban,734,7,685,non-default
suburban,862,7.25,726,default
urban,581,7.75,542,default
rural,392,7,606,non-default
urban,527,7.25,714,non-default
suburban,263,7.5,680,default
suburban,560,7.25,705,default
suburban,85,7.75,627,default
rural,766,7.25,708,default
suburban,446,7.25,641,non-default
suburban,753,7,709,non-default
urban,209,6.75,442,default
suburban,464,7,745,default
rural,1134,7.25,671,default
suburban,880,7.5,601,default
rural,73,8.25,558,default
suburban,568,7.5,655,default
suburban,312,7,679,default
urban,401,7.5,531,default
suburban,440,7.25,575,non-default
suburban,329,6.75,712,non-default
suburban,438,7.25,653,default
suburban,344,6.75,596,non-default
urban,246,7.25,471,default
urban,311,7,731,default
rural,696,7.25,696,default
rural,602,7.75,689,default
suburban,404,7.75,659,default
suburban,310,7.75,645,default
suburban,450,7.25,668,non-default
rural,1020,7.25,677,default
rural,100,7.75,608,default
suburban,682,7.5,548,default
suburban,371,7,710,non-default
suburban,312,7,481,default
rural,523,7.25,616,non-default
suburban,725,7,780,default
suburban,253,6.5,598,non-default
suburban,557,7.25,687,default
suburban,391,7.25,668,default
rural,398,7.75,609,default
suburban,362,7.5,642,default
suburban,893,7.75,550,default
urban,486,7.5,465,default
rural,752,6.75,657,non-default
rural,426,7,648,default
rural,101,8.25,572,default
suburban,819,7.25,700,default
urban,483,7.25,651,default
urban,745,7.25,737,non-default
rural,1134,7.5,669,default
suburban,327,7.5,572,default
suburban,946,7.5,552,default
suburban,744,7.25,607,non-default
suburban,347,7,578,default
rural,760,7.25,737,default
suburban,708,7,666,non-default
suburban,381,7,639,non-default
suburban,731,8,623,default
suburban,317,7.25,625,non-default
suburban,766,6.75,679,non-default
suburban,768,7.25,674,default
suburban,844,7.75,630,default
suburban,545,7.5,776,non-default
rural,517,7,571,non-default
suburban,655,7.25,775,default
suburban,402,7.75,671,default
urban,428,6.75,769,non-default
suburban,755,7.25,691,default
rural,852,7,649,non-default
suburban,575,7,704,non-default
suburban,848,7.25,782,non-default
rural,1182,7.5,652,default
urban,556,7,725,non-default
urban,259,7.5,489,default
suburban,547,7,668,non-default
rural,209,7.5,574,default
urban,394,7.25,578,default
suburban,719,7.25,658,default
rural,253,7.5,584,non-default
urban,471,8,519,default
suburban,496,7,746,default
urban,634,7,735,non-default
suburban,950,7.25,711,default
suburban,803,7.25,665,default
rural,691,7.25,639,non-default
urban,481,7.5,697,default
rural,405,6.75,628,non-default
suburban,287,7.5,670,default
rural,843,6.25,666,non-default
suburban,577,7.25,663,non-default
suburban,412,7,578,non-default
suburban,499,7.5,642,non-default
urban,416,7.25,639,non-default
suburban,199,6.25,715,non-default
rural,128,8,566,default
suburban,299,7,559,default
suburban,622,7,668,non-default
suburban,261,7,565,non-default
suburban,521,7.75,799,default
suburban,947,7.25,589,non-default
suburban,651,7.5,590,default
suburban,1041,7.75,538,non-default
suburban,632,7.25,681,default
suburban,282,7,685,non-default
suburban,314,6.75,609,non-default
suburban,890,6.25,701,non-default
suburban,159,7,536,non-default
urban,267,8.25,693,default
urban,289,7,720,non-default
suburban,750,7.25,652,non-default
rural,841,7.5,633,default
suburban,504,7.5,675,non-default
rural,1004,7.25,708,default
rural,658,7.25,735,default
urban,483,7,727,default
suburban,1324,6,753,non-default
suburban,659,7.25,675,default
urban,377,8.25,493,default
suburban,394,7.25,708,default
suburban,659,6.75,719,non-default
suburban,401,7.5,641,default
suburban,863,7.25,640,default
suburban,462,7,698,non-default
suburban,676,6.5,687,non-default
urban,374,7.25,666,non-default
rural,1374,7.5,676,default
suburban,602,7.25,622,non-default
rural,659,6.75,559,non-default
suburban,1022,7.25,665,default
suburban,614,7.25,700,default
suburban,387,7.75,532,non-default
rural,671,6.75,632,non-default
suburban,750,7.75,478,default
suburban,665,6.5,689,non-default
rural,309,7.25,519,default
urban,413,7,726,default
rural,931,7.25,754,default
rural,616,6.5,666,non-default
suburban,699,6.75,683,non-default
urban,437,7.75,521,default
suburban,350,7.5,552,non-default
suburban,749,7.25,691,default
rural,402,7,743,non-default
urban,588,7.25,599,default
urban,244,7.5,700,default
suburban,809,7.25,711,default
suburban,637,7.5,609,default
rural,1016,7.25,723,default
suburban,595,7,793,default
rural,799,7.25,727,default
rural,700,6.25,682,non-default
urban,124,6.75,603,default
suburban,992,7.25,645,default
rural,634,7.25,637,non-default
urban,709,7,698,default
urban,405,7.25,627,default
urban,207,7,528,default
suburban,630,7,805,non-default
suburban,958,8,527,default
rural,939,7.25,752,default
urban,176,7,608,default
rural,337,7.75,834,default
suburban,443,7.25,650,non-default
suburban,516,7.5,691,default
rural,551,6.75,648,non-default
suburban,405,7.75,692,non-default
urban,690,7.25,646,default
suburban,262,7.25,698,default
rural,371,7,645,non-default
suburban,444,7,770,default
suburban,658,7.25,620,default
